Product,Price,Average serving size (g),Energy (kJ),Protein (g),"Fat, total (g)","Fat, saturated (g)",Carbohydrate (g),"Carbohydrate, sugars (g)",Sodium (mg),Protein_Price_Ratio,Energy_Price_Ratio,Is_Combo
$4.95 Hot Rod Fill Up Until 4pm,4.95,380.0,3404.0,29.4,40.8,4.2,81.7,5.1,1550.0,5.939393939393939,687.6767676767677,1
6 Hot Rods,11.95,337.0,3966.0,60.4,63.5,7.3,34.7,3.0,2700.0,5.054393305439331,331.88284518828453,0
Hot Rods Combo,8.95,615.0,2733.0,25.0,37.8,4.0,53.9,1.6,1092.0,2.7932960893854752,305.36312849162016,1
Hot Rods Box,14.95,911.0,4709.0,53.9,56.0,5.9,102.3,8.2,2502.0,3.605351170568562,314.98327759197326,1
Giant Feast,48.95,4312.0,27754.0,394.4,344.6,55.5,490.3,34.6,12575.0,8.05720122574055,566.9867211440245,1
$6.95 Double Slider & Chips,6.95,314.0,3437.0,28.7,38.1,4.4,89.9,5.9,1062.0,4.129496402877698,494.53237410071944,1
6 Wicked Wings Lunch,7.95,356.0,4239.0,47.8,61.9,9.7,67.4,0.9,1497.0,6.012578616352201,533.2075471698113,1
Ultimate Combo,9.95,774.0,3096.0,31.6,28.6,3.2,89.1,6.8,1417.0,3.175879396984925,311.1557788944724,1
Double Combo Meal,18.95,1329.0,5637.0,59.5,55.0,5.9,154.0,12.1,1845.0,3.1398416886543536,297.467018469657,1
Cheap as Chips,24.95,2224.0,16762.0,213.5,193.0,30.5,354.3,23.7,8656.0,8.557114228456914,671.8236472945893,1
3 Pieces Hot & Crispy,7.95,148.0,1746.0,26.4,24.7,3.1,22.2,0.6,1319.0,3.320754716981132,219.62264150943395,0
3 Pieces Combo Hot & Crispy,11.95,643.0,2967.0,31.2,36.5,4.3,64.1,0.8,1465.0,2.6108786610878663,248.2845188284519,1
Zinger Burger Box Hot & Crispy,14.95,889.0,4362.0,51.3,46.4,5.2,105.1,7.3,2436.0,3.431438127090301,291.77257525083616,1
Zinger Bacon & Cheese Burger Box Hot & Crispy,15.95,926.0,4959.0,58.2,59.0,9.4,105.8,7.4,2868.0,3.648902821316615,310.90909090909093,1
